sent_id,group_id,item_in_set,category,phenomenon,subtype,comparison_types,condition,tense,negation,matrix_subj,matrix_type,matrix_verb,embedded_type,complementizer,grammaticality,sentence,predictions (log prob),notes
,GRP007,sent4,,Ellipsis,Response to polar Q,"negation, matrix_verb",critical,present,yes,first_person,declarative,think,so,NA,grammatical,A: Is it raining outside? B: I don’t think so.,,
,GRP007,sent5,,Ellipsis,Response to polar Q,"negation, matrix_verb",critical,present,yes,first_person,declarative,know,none,NA,grammatical,A: Is it raining outside? B: I don’t know.,,
,GRP007,sent6,,Ellipsis,Response to polar Q,"negation, matrix_verb",control,present,yes,first_person,declarative,control,so,NA,ungrammatical,A: Is it raining outside? B: I don’t guess so.,,
,GRP008,sent1,,Ellipsis,Response to wh Q,"negation, matrix_verb",critical,present,no,first_person,declarative,think,so,NA,ungrammatical,A: Where are my keys? B: I think so.,,
,GRP008,sent2,,Ellipsis,Response to wh Q,"negation, matrix_verb",critical,present,no,first_person,declarative,know,none,NA,ungrammatical,A: Where are my keys? B: I know.,,
,GRP008,sent3,,Ellipsis,Response to wh Q,"negation, matrix_verb",critical,present,yes,first_person,declarative,think,so,NA,ungrammatical,A: Where are my keys? B: I don’t think so.,,
,GRP008,sent4,,Ellipsis,Response to wh Q,"negation, matrix_verb",critical,present,yes,first_person,declarative,know,none,NA,grammatical,A: Where are my keys? B: I don’t know.,,
,GRP009,sent1,,Ellipsis,Response to declarative,"negation, matrix_verb",critical,present,no,first_person,declarative,think,so,NA,ungrammatical,A: It is raining. B: I think so.,,
,GRP009,sent2,,Ellipsis,Response to declarative,"negation, matrix_verb",critical,present,no,first_person,declarative,know,none,NA,grammatical,A: It is raining. B: I know.,,
,GRP009,sent3,,Ellipsis,Response to declarative,"negation, matrix_verb",critical,present,yes,first_person,declarative,think,so,NA,grammatical,A: It is raining. B: I don't think so.,,
,GRP009,sent4,,Ellipsis,Response to declarative,"negation, matrix_verb",critical,present,yes,first_person,declarative,know,none,NA,ungrammatical,A: It is raining. B: I don't know.,,
,GRP010,sent1,,Parenthetical,Slifting,"negation, matrix_verb",critical,present,no,first_person,declarative,think,none,NA,grammatical,"It is raining, I think.",,
,GRP010,sent2,,Parenthetical,Slifting,"negation, matrix_verb",critical,present,no,first_person,declarative,know,none,NA,grammatical,"It is raining, I know.",,
,GRP010,sent3,,Parenthetical,Slifting,"negation, matrix_verb",critical,present,yes,first_person,declarative,think,none,NA,grammatical,"It is not raining, I don't think.",,
,GRP010,sent4,,Parenthetical,Slifting,"negation, matrix_verb",critical,present,yes,first_person,declarative,know,none,NA,ungrammatical,"It is not raining, I don't know.",,
,GRP011,sent1,,Parenthetical,Double top,"matrix_subj, matrix_verb",critical,present,no,second_person,wh_question,think,none,NA,grammatical,"What is in the box, do you think?",,
,GRP011,sent2,,Parenthetical,Double top,"matrix_subj, matrix_verb",critical,present,no,third_person,wh_question,think,none,NA,ungrammatical,"What is in the box, does she think?",,
,GRP011,sent3,,Parenthetical,Double top,"matrix_subj, matrix_verb",critical,present,no,second_person,wh_question,know,none,NA,grammatical,"What is in the box, do you know?",,
,GRP011,sent4,,Parenthetical,Double top,"matrix_subj, matrix_verb",critical,present,no,third_person,wh_question,know,none,NA,grammatical,"What is in the box, does she know?",,
